,id,cond,word,ort,pho,wf,img
0,0,High-frequency exception,are,___a_re___,___ar_____,177808,1.3
1,1,High-frequency exception,both,__bo_th___,__boT_____,25695,2.3
2,2,High-frequency exception,break,_break____,_brek_____,3571,4.5
3,3,High-frequency exception,choose,_choose___,__Cuz_____,1619,2.3
4,4,High-frequency exception,come,__co_me___,__k^m_____,12950,2.2
5,5,High-frequency exception,do,__do______,__du______,27937,1.7
6,6,High-frequency exception,does,__does____,__d^z_____,8595,1.6
7,7,High-frequency exception,done,__do_ne___,__d^n_____,6760,2.3
8,8,High-frequency exception,foot,__foot____,__fUt_____,1258,6.7
9,9,High-frequency exception,give,__gi_ve___,__gIv_____,12773,2.8
10,10,High-frequency exception,great,_great____,_gret_____,8781,2.5
11,11,High-frequency exception,have,__ha_ve___,__h@v_____,165137,1.9
12,12,High-frequency exception,move,__mo_ve___,__muv_____,15270,3.2
13,13,High-frequency exception,put,__pu_t____,__pUt_____,13638,2.2
14,14,High-frequency exception,pull,__pu_ll___,__pUl_____,1259,4.1
15,15,High-frequency exception,said,__said____,__sEd_____,345647,2.1
16,16,High-frequency exception,says,__says____,__sEz_____,111942,4.198262682418339
17,17,High-frequency exception,shall,_sha_ll___,__S@l_____,462,2.0
18,18,High-frequency exception,want,__wa_nt___,__want____,14241,2.4
19,19,High-frequency exception,watch,__wa_tch__,__watC____,1793,5.9
20,20,High-frequency exception,were,__we_re___,__w^r_____,86582,1.5
21,21,High-frequency exception,what,_wha_t____,__w^t_____,38782,1.4
22,22,High-frequency exception,word,__wo_rd___,__w^rd____,2853,3.7
23,23,High-frequency exception,work,__wo_rk___,__w^rk____,22012,3.9
24,24,High-frequency regular-inconsistent,base,__ba_se___,__bes_____,6018,4.4
25,25,High-frequency regular-inconsistent,bone,__bo_ne___,__bon_____,395,6.4
26,26,High-frequency regular-inconsistent,but,__bu_t____,__b^t_____,174118,1.9
27,27,High-frequency regular-inconsistent,catch,__ca_tch__,__k@tC____,1168,4.4
28,28,High-frequency regular-inconsistent,cool,__cool____,__kul_____,770,3.3
29,29,High-frequency regular-inconsistent,days,__days____,__dez_____,18406,4.0
30,30,High-frequency regular-inconsistent,dear,__dear____,__dir_____,245,3.6
31,31,High-frequency regular-inconsistent,flew,_flew_____,_flu______,671,3.7
32,32,High-frequency regular-inconsistent,flat,_fla_t____,_fl@t_____,2476,4.1
33,33,High-frequency regular-inconsistent,five,__fi_ve___,__fAv_____,20929,5.8
34,34,High-frequency regular-inconsistent,form,__fo_rm___,__form____,5838,2.5
35,35,High-frequency regular-inconsistent,go,__go______,__go______,15656,2.2
36,36,High-frequency regular-inconsistent,goes,__goes____,__goz_____,3827,4.198262682418339
37,37,High-frequency regular-inconsistent,grow,_grow_____,_gro______,3372,3.9
38,38,High-frequency regular-inconsistent,here,__he_re___,__hir_____,18471,1.8
39,39,High-frequency regular-inconsistent,home,__ho_me___,__hom_____,18432,5.7
40,40,High-frequency regular-inconsistent,meat,__meat____,__mit_____,1041,6.3
41,41,High-frequency regular-inconsistent,paid,__paid____,__ped_____,11077,4.198262682418339
42,42,High-frequency regular-inconsistent,plant,_pla_nt___,_pl@nt____,13641,6.3
43,43,High-frequency regular-inconsistent,roll,__ro_ll___,__rol_____,1082,4.5
44,44,High-frequency regular-inconsistent,root,__root____,__rut_____,435,6.0
45,45,High-frequency regular-inconsistent,sand,__sa_nd___,__s@nd____,424,6.7
46,46,High-frequency regular-inconsistent,small,_sma_ll___,_smal_____,16437,4.2
47,47,High-frequency regular-inconsistent,speak,_speak____,_spik_____,1409,3.8
48,48,Low-frequency exception,bowl,__bowl____,__bol_____,462,6.3
49,49,Low-frequency exception,broad,_broad____,_brad_____,3234,3.3
50,50,Low-frequency exception,bush,__bu_sh___,__bUS_____,8190,6.3
51,51,Low-frequency exception,deaf,__deaf____,__dEf_____,130,3.3
52,52,Low-frequency exception,doll,__do_ll___,__dal_____,180,6.4
53,53,Low-frequency exception,flood,_flood____,_fl^d_____,691,6.4
54,54,Low-frequency exception,gross,_gro_ss___,_gros_____,2564,3.8
55,55,Low-frequency exception,lose,__lo_se___,__luz_____,3089,3.0
56,56,Low-frequency exception,pear,__pear____,__pEr_____,39,6.0
57,57,Low-frequency exception,phase,_pha_se___,__fez_____,1431,3.1
58,58,Low-frequency exception,pint,__pi_nt___,__pAnt____,49,5.2
59,59,Low-frequency exception,plow,_plow_____,_plW______,90,5.6
60,60,Low-frequency exception,rouse,__rouse___,__rWz_____,131,4.198262682418339
61,61,Low-frequency exception,sew,__sew_____,__so______,20,5.2
62,62,Low-frequency exception,shoe,_shoe_____,__Su______,901,6.5
63,63,Low-frequency exception,spook,_spook____,_spuk_____,27,3.6
64,64,Low-frequency exception,swamp,_swa_mp___,_swamp____,106,6.0
65,65,Low-frequency exception,swarm,_swa_rm___,_sworm____,32,4.8
66,66,Low-frequency exception,touch,__touch___,__t^C_____,1041,4.2
67,67,Low-frequency exception,wad,__wa_d____,__wad_____,43,4.0
68,68,Low-frequency exception,wand,__wa_nd___,__wand____,17,5.6
69,69,Low-frequency exception,wash,__wa_sh___,__waS_____,1009,5.1
70,70,Low-frequency exception,wool,__wool____,__wUl_____,153,5.8
71,71,Low-frequency exception,worm,__wo_rm___,__w^rm____,100,6.6
72,72,Low-frequency regular-inconsistent,brood,_brood____,_brud_____,24,3.2
73,73,Low-frequency regular-inconsistent,cook,__cook____,__kUk_____,687,5.4
74,74,Low-frequency regular-inconsistent,cord,__co_rd___,__kord____,66,5.9
75,75,Low-frequency regular-inconsistent,cove,__co_ve___,__kov_____,62,4.5
76,76,Low-frequency regular-inconsistent,cramp,_cra_mp___,_kr@mp____,6,4.5
77,77,Low-frequency regular-inconsistent,dare,__da_re___,__dEr_____,181,2.5
78,78,Low-frequency regular-inconsistent,fowl,__fowl____,__fWl_____,16,5.1
79,79,Low-frequency regular-inconsistent,gull,__gu_ll___,__g^l_____,106,3.3
80,80,Low-frequency regular-inconsistent,harm,__ha_rm___,__harm____,707,3.3
81,81,Low-frequency regular-inconsistent,hoe,__hoe_____,__ho______,27,5.9
