,word,ort,pho,wf,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,gr14,img,wn_idx
0,a,___a______,___^______,1100290.0,21811.0,19884.0,23168.0,23295.0,24495.0,24646.0,24683.0,24761.0,24792.0,24828.0,24756.0,24584.0,22354.0,416415.0,4.198262682418339,0
1,ace,___a_ce___,___es_____,117.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,4.5,1
2,ache,___a_che__,___ek_____,27.0,6.0,7.0,6.0,7.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,96.0,3.8,2
3,ached,___a_ched_,___ekt____,3.0,0.0,4.0,9.0,10.0,5.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,102.0,4.198262682418339,3
4,aches,___a_ches_,___eks____,23.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,4.198262682418339,4
5,act,___a_ct___,___@kt____,7449.0,27.0,67.0,67.0,79.0,95.0,102.0,108.0,113.0,119.0,128.0,143.0,176.0,314.0,2819.0,3.5,5
6,acts,___a_cts__,___@kts___,1017.0,5.0,11.0,17.0,22.0,27.0,30.0,32.0,33.0,35.0,47.0,48.0,58.0,95.0,881.0,4.198262682418339,6
7,ad,___a_d____,___@d_____,4769.0,10.0,8.0,8.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,12.0,183.0,4.1,7
8,add,___a_dd___,___@d_____,3585.0,46.0,31.0,26.0,36.0,50.0,64.0,73.0,78.0,88.0,95.0,98.0,89.0,58.0,1338.0,3.3,8
9,adds,___a_dds__,___@dz____,6648.0,10.0,4.0,2.0,4.0,7.0,10.0,11.0,12.0,13.0,16.0,16.0,18.0,11.0,231.0,4.198262682418339,9
10,ads,___a_ds___,___@dz____,3416.0,2.0,8.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,11.0,11.0,190.0,4.198262682418339,10
11,aft,___a_ft___,___@ft____,36.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,46.0,1.6,12
12,age,___a_ge___,___eJ_____,4993.0,29.0,62.0,91.0,106.0,146.0,183.0,194.0,208.0,218.0,229.0,236.0,255.0,315.0,3869.0,3.4,13
13,aid,___aid____,___ed_____,6163.0,1.0,12.0,11.0,11.0,19.0,25.0,26.0,32.0,36.0,49.0,61.0,84.0,137.0,1055.0,3.5,14
14,aide,___aide___,___ed_____,1988.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,62.0,2.5,15
15,aides,___aides__,___edz____,2228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,70.0,4.198262682418339,16
16,aids,___aids___,___edz____,5741.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,5.0,6.0,7.0,13.0,33.0,216.0,4.198262682418339,17
17,ail,___ail____,___el_____,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,18
18,ailed,___ailed__,___eld____,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.198262682418339,19
19,ails,___ails___,___elz____,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.198262682418339,20
20,aim,___aim____,___em_____,947.0,0.0,6.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,13.0,12.0,15.0,26.0,303.0,3.9,21
21,aimed,___aimed__,___emd____,3295.0,3.0,5.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,9.0,12.0,23.0,230.0,4.198262682418339,22
22,aims,___aims___,___emz____,619.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,18.0,119.0,4.198262682418339,23
23,air,___air____,___Er_____,15555.0,314.0,415.0,516.0,572.0,617.0,621.0,640.0,633.0,637.0,607.0,586.0,529.0,301.0,11408.0,4.0,24
24,airs,___airs___,___Erz____,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.198262682418339,25
25,aisle,___aisle__,___Al_____,81.0,3.0,7.0,10.0,7.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,148.0,5.3,26
26,aisles,___aisles_,___Alz____,75.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,52.0,4.198262682418339,27
27,ale,___a_le___,___el_____,92.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,44.0,4.0,28
28,ales,___a_les__,___elz____,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.198262682418339,29
29,all,___a_ll___,___al_____,62510.0,3931.0,3788.0,3965.0,3806.0,3699.0,3561.0,3472.0,3367.0,3283.0,3150.0,3026.0,2924.0,2546.0,58535.0,2.3,30
30,alms,___a_lms__,___almz___,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.3,31
31,alp,___a_lp___,___@lp____,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,32
32,alps,___a_lps__,___@lps___,64.0,0.0,0.0,0.0,2.0,5.0,7.0,6.0,5.0,6.0,5.0,4.0,6.0,2.0,123.0,4.198262682418339,33
33,am,___a_m____,___@m_____,6097.0,1115.0,560.0,379.0,346.0,234.0,186.0,166.0,158.0,144.0,121.0,109.0,89.0,30.0,4489.0,1.8,34
34,amp,___a_mp___,___@mp____,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.198262682418339,35
35,an,___a_n____,___@n_____,182440.0,866.0,1281.0,1810.0,1978.0,2586.0,2866.0,3035.0,3172.0,3296.0,3577.0,3675.0,3872.0,4425.0,54019.0,1.2,36
36,and,___a_nd___,___@nd____,909157.0,17513.0,19697.0,24657.0,25476.0,28032.0,28491.0,28675.0,28740.0,28734.0,28473.0,28331.0,27976.0,29314.0,477715.0,1.3,37
37,angst,___a_ngst_,___@ngst__,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.198262682418339,38
38,ant,___a_nt___,___@nt____,18.0,114.0,27.0,13.0,11.0,8.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,0.0,261.0,6.7,39
39,ants,___a_nts__,___@nts___,29.0,59.0,31.0,17.0,18.0,17.0,14.0,14.0,11.0,10.0,10.0,9.0,9.0,4.0,389.0,4.198262682418339,40
40,ape,___a_pe___,___ep_____,18.0,19.0,11.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,143.0,6.8,41
41,apes,___a_pes__,___eps____,10.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,6.0,117.0,4.198262682418339,42
42,apse,___a_pse__,___@ps____,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.3,43
43,apt,___a_pt___,___@pt____,239.0,0.0,0.0,1.0,0.0,2.0,5.0,7.0,7.0,9.0,11.0,11.0,11.0,16.0,167.0,1.9,44
44,arc,___a_rc___,___ark____,245.0,0.0,0.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,230.0,5.0,45
45,arch,___a_rch__,___arC____,184.0,1.0,6.0,4.0,5.0,3.0,3.0,3.0,8.0,8.0,12.0,13.0,14.0,4.0,204.0,5.1,46
46,arcs,___a_rcs__,___arks___,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.198262682418339,47
47,are,___a_re___,___ar_____,177808.0,4359.0,3489.0,4336.0,4564.0,5293.0,5635.0,5827.0,6013.0,6210.0,6589.0,6799.0,7225.0,8116.0,110918.0,1.3,48
48,ark,___a_rk___,___ark____,446.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,57.0,5.7,50
49,arks,___a_rks__,___arks___,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.198262682418339,51
50,arm,___a_rm___,___arm____,1912.0,180.0,189.0,161.0,145.0,131.0,118.0,112.0,105.0,101.0,85.0,76.0,63.0,26.0,2105.0,6.8,52
51,arms,___a_rms__,___armz___,6684.0,110.0,150.0,166.0,166.0,141.0,138.0,126.0,126.0,120.0,113.0,105.0,93.0,50.0,2341.0,4.198262682418339,53
52,arse,___a_rse__,___ars____,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.198262682418339,54
53,art,___a_rt___,___art____,3920.0,41.0,25.0,38.0,36.0,38.0,48.0,43.0,39.0,41.0,53.0,55.0,70.0,90.0,1616.0,4.6,55
54,arts,___a_rts__,___arts___,1109.0,1.0,1.0,1.0,2.0,4.0,6.0,5.0,8.0,9.0,13.0,17.0,23.0,46.0,379.0,4.0,56
55,as,___a_s____,___@z_____,255899.0,2243.0,3346.0,4616.0,5049.0,6001.0,6364.0,6487.0,6632.0,6761.0,7029.0,7172.0,7399.0,8200.0,111540.0,1.4,57
56,ash,___a_sh___,___@S_____,165.0,3.0,4.0,5.0,5.0,8.0,14.0,16.0,16.0,17.0,20.0,17.0,14.0,2.0,236.0,5.7,58
