"Word","List","Case","Type","Response","Response_Type","Response.Noam","phoneme1","phoneme2","phoneme3","phoneme4","phoneme5","phoneme6","response_clean_old","response_clean_new"
"blance","Tr03","VC1","C","b_b_ l_l_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","b_b_ l_l_  a_a_   n_n_ c_s_ e_#_","b","l","a","n","s","","blans","blans"
"brance","Tr03","VC1","C","b_b_ r_r_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","b_b_ r_r_  a_a_   n_n_ c_s_ e_#_","b","r","a","n","s","","brans","brans"
"crance","Tr03","VC1","C","c_k_ r_r_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","c_k_ r_r_  a_a_  n_n_ c_s_ e_#_","k","r","a","n","s","","krans","krans"
"drance","Tr03","VC1","C","d_d_ r_r_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","d_d_ r_r_  a_a_  n_n_ c_s_ e_#_","d","r","a","n","s","","drans","drans"
"quance","Tr03","VC1","C","qu_kw_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","qu_kw_  a_a_  n_n_ c_s_ e_#_","kw","a","n","s","","","kwans","kwans"
"sance","Tr03","VC1","C","s_s_ a_a_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","s_s_ a_a_  n_n_ c_s_ e_#_","s","a","n","s","","","sans","sans"
"shance","Tr03","VC1","C","sh_S_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","sh_S_  a_a_  n_n_ c_s_ e_#_","S","a","n","s","","","Sans","Sans"
"slance","Tr03","VC1","C","s_s_ l_l_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","s_s_ l_l_  a_a_  n_n_ c_s_ e_#_","s","l","a","n","s","","slans","slans"
"snance","Tr03","VC1","C","s_s_ n_n_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","s_s_ n_n_  a_a_  n_n_ c_s_ e_#_","s","n","a","n","s","","snans","snans"
"spance","Tr03","VC1","C","s_s_ p_p_  a_a_  _ n_n_ c_s_ e_#_","GP_RESPONSE","s_s_ p_p_  a_a_  n_n_ c_s_ e_#_","s","p","a","n","s","","spans","spans"
"blange","Tr03","VC1","E","b_b_ l_l_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","b_b_ l_l_  a_a_  n_n_ g_dZ_ e_#_","b","l","a","n","dZ","","blandZ","blanJ"
"brange","Tr03","VC1","E","b_b_ r_r_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","b_b_ r_r_  a_a_  n_n_ g_dZ_ e_#_","b","r","a","n","dZ","","brandZ","branJ"
"crange","Tr03","VC1","E","c_k_ r_r_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","c_k_ r_r_  a_a_  n_n_ g_dZ_ e_#_","k","r","a","n","dZ","","krandZ","kranJ"
"drange","Tr03","VC1","E","d_d_ r_r_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","d_d_ r_r_  a_a_  n_n_ g_dZ_ e_#_","d","r","a","n","dZ","","drandZ","dranJ"
"quange","Tr03","VC1","E","qu_kw_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","qu_kw_  a_a_  n_n_ g_dZ_ e_#_","kw","a","n","dZ","","","kwandZ","kwanJ"
"sange","Tr03","VC1","E","s_s_ a_a_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","s_s_ a_a_  n_n_ g_dZ_ e_#_","s","a","n","dZ","","","sandZ","sanJ"
"shange","Tr03","VC1","E","sh_S_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","sh_S_  a_a_  n_n_ g_dZ_ e_#_","S","a","n","dZ","","","SandZ","SanJ"
"slange","Tr03","VC1","E","s_s_ l_l_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","s_s_ l_l_  a_a_  n_n_ g_dZ_ e_#_","s","l","a","n","dZ","","slandZ","slanJ"
"snange","Tr03","VC1","E","s_s_ n_n_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","s_s_ n_n_  a_a_  n_n_ g_dZ_ e_#_","s","n","a","n","dZ","","snandZ","snanJ"
"spange","Tr03","VC1","E","s_s_ p_p_  a_a_  n_n_ g_dZ_ e_#_","GP_RESPONSE","s_s_ p_p_  a_a_  n_n_ g_dZ_ e_#_","s","p","a","n","dZ","","spandZ","spanJ"
"frand","Tr03","VC2","C","f_f_ r_r_  a_a_  n_n_ d_d_","GP_RESPONSE","f_f_ r_r_  a_a_  n_n_ d_d_","f","r","a","n","d","","frand","frand"
"nand","Tr03","VC2","C","n_n_  a_a_  n_n_ d_d_","GP_RESPONSE","n_n_  a_a_  n_n_ d_d_","n","a","n","d","","","nand","nand"
"shand","Tr03","VC2","C","sh_S_   a_a_  n_n_ d_d_","GP_RESPONSE","sh_S_   a_a_  n_n_ d_d_","S","a","n","d","","","Sand","Sand"
"tand","Tr03","VC2","C","t_t_  a_a_  n_n_ d_d_","GP_RESPONSE","t_t_  a_a_  n_n_ d_d_","t","a","n","d","","","tand","tand"
"yand","Tr03","VC2","C","y_j_  a_a_  n_n_ d_d_","GP_RESPONSE","y_j_  a_a_  n_n_ d_d_","j","a","n","d","","","jand","jand"
